"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Aamer Ahmad","Nationalpartiet","Sjællands Storkreds","https://www.facebook.com/aamer.ahmad","Aamer Ahmad",688,115,"08-06-2015"
"Abir Al-kalemji","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/pages/Abir-Al-kalemji/527684960623598","Abir Al-kalemji",439,197,"08-06-2015"
"Aleks Jensen","Nationalpartiet","Nordsjællands Storkreds","https://www.facebook.com/pages/Aleks-Jensen/648662665278105","Aleks Jensen",197,81,"08-06-2015"
"Anahita Malakians","Venstre","Københavns Storkreds","https://www.facebook.com/anahitapolitik","Anahita Malakians",320,75,"08-06-2015"
"Anders Broholm","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stembroholm","Anders Broholm",1720,916,"08-06-2015"
"Anders Buhl Christensen","Venstre","Østjyllands Storkreds","https://www.facebook.com/AndersBuhlVenstre","Anders Buhl-Christensen",563,310,"08-06-2015"
"Anders Houdam Andreasen","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/Anders.Andreasen.S","Anders Andreasen",51,21,"08-06-2015"
"Anders Johansson","Det Konservative Folkeparti","Fyns Storkreds","https://www.facebook.com/andersretzjohansson","Anders Johansson",1523,387,"08-06-2015"
"Anders Kirkeby","Liberal Alliance","Fyns storkreds","https://www.facebook.com/AndersKirkebyFV15","Anders Kirkeby i Folketinget",344,148,"08-06-2015"
"Anders Samuelsen","Liberal Alliance","Nordsjællands Storkreds","http://www.facebook.com/AndersSamuelsenLA","Anders Samuelsen",56398,30983,"08-06-2015"
"Anders Stenumgaard Lind","Alternativet","Østjyllands Storkreds","https://www.facebook.com/pages/Anders-Stenumgaard-Lind/401098386718111","Anders Stenumgaard Lind",44,1,"08-06-2015"
"Anders Udengaard","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/udengaard","Anders Udengaard",111,74,"08-06-2015"
"Andreas Albertsen","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/andreas.albertsen","Andreas Albertsen",2645,595,"08-06-2015"
"Andreas Hastrup","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/pages/Andreas-Hastrup-Liberal-Alliance/547569822031033","Andreas Hastrup     Liberal Alliance",1275,401,"08-06-2015"
"Andreas Pourkamali","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/andreas.pourkamali","Andreas Pourkamali",968,457,"08-06-2015"
"Andreas Steenberg","Radikale Venstre","Vestjyllands Storkreds","https://www.facebook.com/andreas.steenberg.1","Andreas Steenberg",2049,516,"08-06-2015"
"Ane Halsboe-Jørgensen","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/stemhalsboe","Ane Halsboe-Jørgensen",3437,1523,"08-06-2015"
"Anette Skafte","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/pages/DF-Anette-Skafte/776586579040173","DF Anette Skafte",242,32,"08-06-2015"
"Anna Hede Christensen","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/AnnahedeDF","Anna Hede Christensen - Dansk Folkeparti",496,153,"08-06-2015"
"Anna Møbjerg","Nationalpartiet","Sydjyllands Storkreds","https://www.facebook.com/annamobjerg","Anna Møbjerg",242,79,"08-06-2015"
"Anne Hegelund","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/annehegelund.dk","Anne Hegelund",740,334,"08-06-2015"
"Anne Marie Geisler Andersen","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/anne.marie.geisler.andersen.politiker","Anne Marie Geisler Andersen",786,155,"08-06-2015"
