"paragraf","hovedomrode","aktivitet","hovedkonto","aar","udgift"
"Dronningen ","Statsydelse ","Statsydelse ","Statsydelse ","2014",77.7
"Medlemmer af det kongelige hus m.fl. ","Årpenge mv. ","Årpenge mv. ","Årpenge mv. ","2014",26.4
"Folketinget ","Udgifter ved Folketinget ","Folketinget ","Folketinget ","2014",387.8
"Folketinget ","Udgifter ved Folketinget ","Folketinget ","Folketingets medlemmer ","2014",264.2
"Folketinget ","Udgifter ved Folketinget ","Folketinget ","Erhvervelse af medlemsboliger ","2014",6.5
"Folketinget ","Udgifter ved Folketinget ","Folketinget ","Medlemsboliger ","2014",2.2
"Folketinget ","Folketingets Ombudsmand ","Folketingets Ombudsmand ","Folketingets Ombudsmand ","2014",63.3
"Folketinget ","Statsrevisorerne og Rigsrevisionen ","Statsrevisorerne og Rigsrevisionen ","Statsrevisorerne ","2014",5
"Folketinget ","Statsrevisorerne og Rigsrevisionen ","Statsrevisorerne og Rigsrevisionen ","Rigsrevisionen ","2014",202.5
"Folketinget ","Folketingets pensioner ","Folketingets pensioner ","Folketingets pensioner ","2014",76.7
"Statsministeriet ","Fællesudgifter ","Centralstyrelsen ","Departementet ","2014",88.8
"Statsministeriet ","Fællesudgifter ","Centralstyrelsen ","Tilskud ","2014",0.5
"Statsministeriet ","Fællesudgifter ","Grønland og Færøerne ","Rigsombudsmanden i Grønland ","2014",10.1
"Statsministeriet ","Fællesudgifter ","Grønland og Færøerne ","Rigsombudsmanden på Færøerne ","2014",10.7
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Udenrigstjenesten ","2014",1761
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Indtægter fra borgerserviceydelser ","2014",-75
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Renteindtægt af diverse tilgodehavender ","2014",-16.4
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","IMR ","2014",38.8
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Dansk Institut for Internationale Studier ","2014",27
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Ikke-lovbundne tilskud ","2014",40.4
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Bilateralt naboskabsprogram ","2014",-0.3
"Udenrigsministeriet ","Udenrigstjenesten mv. ","Udenrigstjenesten mv. ","Udlodninger fra IØ og IFU ","2014",-125
"Udenrigsministeriet ","Internationale organisationer ","Nordiske formål ","Nordisk Ministerråd ","2014",107
"Udenrigsministeriet ","Internationale organisationer ","Øvrige internationale organisationer ","Fredsbevarende operationer ","2014",273.3
"Udenrigsministeriet ","Internationale organisationer ","Øvrige internationale organisationer ","Øvrige organisationer ","2014",234.4
"Udenrigsministeriet ","Internationale organisationer ","Øvrige internationale organisationer ","Den Europæiske Investeringsbank ","2014",-7.1
"Udenrigsministeriet ","Bistand til udviklingslandene ","Reserver ","Reserver og budgetreguleringer ","2014",0
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Udviklingslande i Afrika ","2014",2329
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Udviklingslande i Asien og Latinamerika ","2014",1050.7
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Personelbistand og myndighedssamarbejde ","2014",284.5
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Danidas erhvervsplatform ","2014",360.9
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Lånebistand ","2014",-45.5
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Øvrig bistand ","2014",416.9
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Det Arabiske Initiativ ","2014",274.8
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bilateral bistand ","Naboskabsprogram ","2014",193.3
"Udenrigsministeriet ","Bistand til udviklingslandene ","Bistand gennem civilsamfundsorganisationer ","Bistand gennem civilsamfundsorganisationer ","2014",1011.8
"Udenrigsministeriet ","Bistand til udviklingslandene ","Naturressourcer, energi og klimaforandringer ","Naturressourcer, energi og klimaforandringer ","2014",1203.6
"Udenrigsministeriet ","Bistand til udviklingslandene ","Forsknings- og oplysningsvirksomhed ","Forskning og oplysning i Danmark mv. ","2014",236.7
"Udenrigsministeriet ","Bistand til udviklingslandene ","Forsknings- og oplysningsvirksomhed ","International udviklingsforskning ","2014",12
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","UNDP ","2014",615.8
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","De Forenede Nationers Børnefond (UNICEF) ","2014",290
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","HIV/AIDS, Befolknings- og sundhedsprogrammer ","2014",802
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","FN-programmer for landbrugsudvikling ","2014",0
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","Globale Miljøprogrammer ","2014",-0.3
"Udenrigsministeriet ","Bistand til udviklingslandene ","Multilateral bistand gennem FN mv. ","FNUD ","2014",297.5
"Udenrigsministeriet ","Bistand til udviklingslandene ","Udviklingsbanker, -fonde og EU ","Verdensbankgruppen ","2014",897
"Udenrigsministeriet ","Bistand til udviklingslandene ","Udviklingsbanker, -fonde og EU ","Regionale udviklingsbanker ","2014",-0.1
"Udenrigsministeriet ","Bistand til udviklingslandene ","Udviklingsbanker, -fonde og EU ","Udviklingsfonde m.v. ","2014",176.2
"Udenrigsministeriet ","Bistand til udviklingslandene ","Udviklingsbanker, -fonde og EU ","Bistand gennem Den Europæiske Union (EU) ","2014",484.7
"Udenrigsministeriet ","Bistand til udviklingslandene ","Humanitær bistand ","Humanitære organisationer ","2014",610
"Udenrigsministeriet ","Bistand til udviklingslandene ","Humanitær bistand ","Humanitære bidrag kriser ","2014",-8.3
"Udenrigsministeriet ","Bistand til udviklingslandene ","Humanitær bistand ","Hum bidrag til partnere ","2014",1631
"Udenrigsministeriet ","eksportfremme ","Fællesudgifter ","Eksportstipendiater og handelskontorer ","2014",46.7
