#,"Are you a BA or MA student?",Other,"How many hours (not including time spent in lectures) do you (honestly) spend preparing for this course per week?","Do you find the difficulty of this course to be","Think about your other courses this semester. In comparison, is this course","Think about your other courses this semester. In comparison, is this course","Would you recommend this course to fellow students?","What is the biggest challenge you're currently facing in Social Data Science?","Do you have any suggestions for how we can further improve the course?","Start Date (UTC)","Submit Date (UTC)","Network ID"
49b971ede8d34d16fd1fc5dca1d6d0c7,MA,,1,Normal,Easier,"More fun",1,Programming,,"2015-10-08 06:18:08","2015-10-08 06:19:55",49d0dbc2f3
74b37ea6cbbc3a5da5e8fb767f43493f,MA,,2,Normal,"About the same ","More fun",1,R,No,"2015-10-08 06:18:20","2015-10-08 06:19:59",49d0dbc2f3
cc90f1b08ca50b023db6be2a1a51b1ef,MA,,3,Low,Easier,"More fun",1,"Learning javascript!","Be more specific in the assignment formulation, so there is no doubt about what questions we're supped to answer","2015-10-08 06:19:20","2015-10-08 06:21:28",49d0dbc2f3
62a26085eec7c9898b53697d33a6785b,MA,,3,Normal,Easier,"About the same",1,"Programming. How certain things are done in R compared to fx. VBA or Ox","Small intro to github at the start of the course. would be nice. Focus on the integration with R. Fx how to create the github slides using R code etc","2015-10-08 06:19:06","2015-10-08 06:22:42",49d0dbc2f3
376a7fe9c39855254acfd8d0c555bb32,,,20,High,"About the same ","More fun",1,,,"2015-10-08 06:22:19","2015-10-08 06:22:59",49d0dbc2f3
43332a7d26ed3781925e5a760265794e,MA,,"5,5",Normal,"About the same ","More fun",1,,,"2015-10-08 06:22:17","2015-10-08 06:23:13",49d0dbc2f3
7194d7fafdea7edba7ff62587cc0027d,BA,,4,High,"Much more difficult","About the same",1,"codes ","more examples","2015-10-08 06:22:21","2015-10-08 06:23:21",49d0dbc2f3
62f39ce07d6c9ce197d38102a2a49c01,BA,,10,High,"More difficult","More fun",1,Coding,"more instructions","2015-10-08 06:22:10","2015-10-08 06:23:22",49d0dbc2f3
59937aefe60b425e9fd394dab675ec90,MA,,2,High,"About the same ","About the same",1,"the assignment is very difficult compared to the lecture which started very easy.","the assignment could be more comparable to examples","2015-10-08 06:20:52","2015-10-08 06:23:27",49d0dbc2f3
cb186ba1ec479edc6926dff28d099b6e,BA,,5,Normal,Easier,"More fun",1,"programming i R",,"2015-10-08 06:22:39","2015-10-08 06:23:29",49d0dbc2f3
3129c6a22600d613c400437cf40ba4ec,MA,,2,Normal,"About the same ","More fun",1,Time,no,"2015-10-08 06:21:10","2015-10-08 06:23:31",49d0dbc2f3
86a2a2274d6471aec1db25ff28dac929,BA,,3,Normal,"About the same ","More fun",1,"R programming","More exercise and practice with answer","2015-10-08 06:22:25","2015-10-08 06:23:32",49d0dbc2f3
6a0bb9bff9bbe83e1fbbf86ce3ef9b19,BA,,3,High,"About the same ","More fun",1,"Getting the big overview of all the functions and what is actually possible",,"2015-10-08 06:18:41","2015-10-08 06:23:36",49d0dbc2f3
ffd7698a8688a8a0da7fc2507e90bdc0,MA,,4,Normal,"About the same ","More fun",1,"Learning R",none,"2015-10-08 06:22:20","2015-10-08 06:23:39",49d0dbc2f3
50d8c36fa5195152bee7ebbe2ed2019f,BA,,2,Normal,"About the same ","More fun",1,"Learning R","More Assignments","2015-10-08 06:18:34","2015-10-08 06:23:41",49d0dbc2f3
aebf340b56545340d6fa69c00d2d7786,BA,,2,High,"Much more difficult","About the same",0,"Programming in R","more instructions, more help","2015-10-08 06:20:44","2015-10-08 06:23:46",49d0dbc2f3
5013e343c7e7eb3476a53860344e8c5f,MA,,1,Normal,"About the same ","More fun",1,"Regular expressions",..,"2015-10-08 06:22:36","2015-10-08 06:23:54",49d0dbc2f3
22a49ddd4cd3ba03772e4eaf5432a9f7,MA,,10,High,"About the same ","More fun",1,"Learning a new program and how to apply these skills",,"2015-10-08 06:22:16","2015-10-08 06:23:57",49d0dbc2f3
e0c15f2e6689a6d544daac35876b3fcc,MA,,8,High,"About the same ","More fun",1,"Learning ""R language""",,"2015-10-08 06:22:23","2015-10-08 06:24:11",49d0dbc2f3
dc3a102bbf95936b5c61ab3032ff1f6c,MA,,6,Normal,"More difficult","More fun",1,"Becoming comfortable with R","Uploading the dates for the assignments earlier, so it's easier to plan ahead in the groups","2015-10-08 06:22:48","2015-10-08 06:24:12",49d0dbc2f3
a81b348af974ab51deb0914bf3c9f474,MA,,4,Normal,Easier,"More fun",1,"Q7 in the assignment",no,"2015-10-08 06:22:25","2015-10-08 06:24:25",49d0dbc2f3
d10a0dc4eaa8e484b8778edd0d3fdfef,MA,,4,Normal,Easier,"Less fun",0,"R isn't always intuitive (in my opinion)","More theory. Less coding","2015-10-08 06:22:38","2015-10-08 06:24:26",49d0dbc2f3
9609215eb083740137c7610d902d74a9,MA,,3,Normal,"About the same ","About the same",1,"Lack of structure from the teachers and finding time in the mandatory groups","No mandatory groups and a clear schedual telling us when the last lecture will be, time of assingments in for hand and so on","2015-10-08 06:22:11","2015-10-08 06:24:27",49d0dbc2f3
aab799befcf33158ea821c3834b75f42,MA,,5,High,"About the same ","Less fun",0,"Learning R",,"2015-10-08 06:22:50","2015-10-08 06:24:29",49d0dbc2f3
b69371a8dd163eb8e9f5b6edd18af5c2,MA,,5,High,"More difficult","More fun",1,"The programming in R","more precise assignment formulation","2015-10-08 06:22:44","2015-10-08 06:24:38",49d0dbc2f3
9c0cd0a34b262c616aa5690797b284ba,MA,,7,Normal,"About the same ","More fun",1,,,"2015-10-08 06:23:09","2015-10-08 06:24:38",49d0dbc2f3
8a505f9fa755f82bab216d5376cc958a,MA,,13,Normal,"About the same ","More fun",1,"Thinking of problems as coding-problems",,"2015-10-08 06:23:03","2015-10-08 06:24:47",49d0dbc2f3
ae1444e8b6be22ab12b9ad4ff8af3d73,MA,,4,Normal,Easier,"More fun",1,"Q.7 in assignment 1.",,"2015-10-08 06:22:46","2015-10-08 06:24:50",49d0dbc2f3
1af4362bb33a4d91f0b12d5f1a4b6a4e,MA,,2,High,"More difficult","More fun",1,"Finding time to meet with the group","Give us information sooner, e.g. give us the dates for the assignments, so we can find time to meet with the group","2015-10-08 06:22:19","2015-10-08 06:24:53",49d0dbc2f3
c611447e7c66790b4afd96d14f6b6e19,MA,,5,Normal,"About the same ","More fun",1,"Learning R",,"2015-10-08 06:23:37","2015-10-08 06:24:55",49d0dbc2f3
c8a96d81cd2550e60972410007286111,MA,,4,Normal,Easier,"More fun",1,"I need more exercises, but smaller and easier ones","see 7.","2015-10-08 06:23:00","2015-10-08 06:24:57",49d0dbc2f3
d2259fd4a4a856663fb61e14a368ddcc,BA,,2,Normal,"About the same ","About the same",1,"programming in R (the assignment)",,"2015-10-08 06:22:26","2015-10-08 06:24:59",49d0dbc2f3
c89b367965a7ffc432f8534443f06143,BA,,5,High,"More difficult","More fun",1,"The assignment :)","Not really","2015-10-08 06:24:16","2015-10-08 06:25:02",49d0dbc2f3
c26e4650735c610966271c2f9b15619e,MA,,5,Normal,"About the same ","More fun",1,"Stuck at small df iterations, due to lack of data manipulation tools","Not yet","2015-10-08 06:22:55","2015-10-08 06:25:05",49d0dbc2f3
f7b87e41ba91fa610054d10dbb157f99,MA,,4,Normal,"About the same ","More fun",0,"Planning with random groups","let student choose their own groups","2015-10-08 06:22:44","2015-10-08 06:25:05",49d0dbc2f3
79b8fa9017f9d8eb5dfb96933e5f9714,MA,,5,Normal,"More difficult","More fun",1,"Learning the R coding language.",,"2015-10-08 06:23:25","2015-10-08 06:25:18",49d0dbc2f3
2a2b77d8fd4c532b0af8154c5013ae8c,MA,,7,Low,Easier,"More fun",1,"Meeting with my group","Be better at making groups....","2015-10-08 06:22:33","2015-10-08 06:25:20",49d0dbc2f3
0018e81de5581486cc6a59df304be79b,MA,,1-2,High,"About the same ","About the same",0,"Obligatoriske studiegruppe, det burde være en mulighed, at vælge grupper selv. ","Ikke obligatoriske grupper. ","2015-10-08 06:22:10","2015-10-08 06:25:20",49d0dbc2f3
a68d7ecdcfb3efebb68796b234efa618,MA,,"4,5",Normal,"About the same ","More fun",1,"Getting to know commands in R, so I can execute them properly",no,"2015-10-08 06:22:49","2015-10-08 06:25:21",49d0dbc2f3
7597df48de3fe75067692ce00cd73646,BA,,3,Normal,"More difficult","More fun",1,"Finding further tasks to complete in R, in order to learn it properly","More assignments (not necessarily mandatory, or delivered in). Just stuff to do. ","2015-10-08 06:23:58","2015-10-08 06:25:22",49d0dbc2f3
5a26ef0ddfb4fdd0fb61372da6c50238,MA,,2,Normal,"More difficult","More fun",1,,,"2015-10-08 06:24:03","2015-10-08 06:25:23",49d0dbc2f3
06e051ee6d91f9a85ea26ec8250ce5a2,,,4,Normal,"About the same ","More fun",1,?,?,"2015-10-08 06:22:21","2015-10-08 06:25:23",49d0dbc2f3
d763e698f78f0a33c2e4d5e6733fcdff,MA,,3,Normal,"About the same ","More fun",1,"1) Forgetting R after not using it for a week. Besides that - Figuring out what to read for the classes.","Be more prepared","2015-10-08 06:23:04","2015-10-08 06:25:24",49d0dbc2f3
58644c0016a8608451550623289b69f0,MA,,4,Normal,"About the same ","About the same",0,"to get our group to work together",,"2015-10-08 06:22:18","2015-10-08 06:25:26",49d0dbc2f3
b0602eba9cf545696aca6c4b27936b0e,MA,,3,High,"More difficult","Less fun",0,"Coding process",,"2015-10-08 06:24:40","2015-10-08 06:25:33",49d0dbc2f3
23e0e46e72571014c9951af18fa8a9ef,MA,,8,Normal,"More difficult","More fun",1,"Basic work with datasets in R",,"2015-10-08 06:22:23","2015-10-08 06:25:55",49d0dbc2f3
5cdc92223546f79df38e8ee7df255c92,MA,,8,Normal,"More difficult","About the same",1,"We have very different levels in the group","More small assignments","2015-10-08 06:22:17","2015-10-08 06:26:39",49d0dbc2f3
864c2eb3862a3fc43d8230d9d7b9f20d,MA,,5,Normal,"More difficult","About the same",1,"the assignment","more small assignments in the class","2015-10-08 06:22:25","2015-10-08 06:26:44",49d0dbc2f3
6f3382965379ce0e25933149af8b9006,MA,,4,Normal,Easier,"More fun",1,"Too big (cursory) syllabus, unclarity how the exam will be","Work done in-class is not nearly as effective as take-home work. ","2015-10-08 06:19:17","2015-10-08 06:26:54",49d0dbc2f3
2a632ff35df4b11798a047dc51026e69,MA,,5,Normal,"About the same ","More fun",1,,,"2015-10-08 06:23:26","2015-10-08 06:27:01",49d0dbc2f3
aee294353fd644e87ba123e73ebd0b26,MA,,6,Normal,"About the same ","More fun",,R,,"2015-10-08 06:24:29","2015-10-08 06:27:20",49d0dbc2f3
f08b78a4f31d98c519107fcf558ed430,BA,,7,Normal,"About the same ","More fun",1,Parsing,"The ""readings"" page could have been listed - easier to know what to read when","2015-10-08 06:23:45","2015-10-08 06:27:45",49d0dbc2f3
6f10f24b2fbda0762a23f0d1568dd426,BA,,2,Normal,"More difficult","More fun",1,,,"2015-10-08 06:25:51","2015-10-08 06:27:46",68bb83b321
0b20e0892c3621030746f1e462a4d9fb,MA,,5,High,"About the same ","More fun",,"A bit messy in the intro to coding. Would have liked a more direct introduction to object-oriented programming (or a small textbook/kompendium to read)","As mentioned above, a 50-page intro article to R and object-oriented programming. Video-tutorials!","2015-10-08 06:26:09","2015-10-08 06:29:14",49d0dbc2f3
c7888ba1f3ceb5696171f531d21c77de,MA,,10,Normal,"About the same ","More fun",1,"Spending more time. Otherwise, string processing.","More competitions - perhaps one for each class. Also, I think there would be benefits to getting a 'forum' up and running, to increase knowledge sharing across class members.","2015-10-08 06:27:14","2015-10-08 06:29:43",49d0dbc2f3
382f2469a2ea0f0b1265053c439bf005,MA,,1,Normal,Easier,"More fun",1,,,"2015-10-08 06:23:54","2015-10-08 06:40:53",49d0dbc2f3
cd01107fb78f3ed1666b11c0f8ffaf05,MA,,5,Normal,"About the same ","More fun",1,Maps...,,"2015-10-08 06:40:06","2015-10-08 06:41:13",49d0dbc2f3
0a7b1acd1caf3ec849578e03e10f013b,MA,,5,Normal,Easier,"More fun",1,"r programming","Smaller groups. 4 is too many when you are programming.","2015-10-08 08:33:13","2015-10-08 08:35:39",49d0dbc2f3
89d3767d7549847cd07c70c8bfaf4278,MA,,1,Normal,"About the same ","More fun",1,"Data Manipulation in R, real coding like looping etc.",,"2015-10-08 09:04:53","2015-10-08 09:06:11",49d0dbc2f3
f163e3096b5c99bd1c6f2b5a1e38ec9f,BA,,2,Normal,Easier,"About the same",1,"Coding - in class level is either very high or very low. ",,"2015-10-08 09:09:28","2015-10-08 09:12:23",49d0dbc2f3
23a65477d0ce609714e7ddb6592b8c16,MA,,2,Normal,Easier,"More fun",1,"Understanding R and regular expressions",No,"2015-10-08 11:59:59","2015-10-08 12:01:13",6614466732
cf0f32f04dc33122f9125aca4923e9c5,MA,,4,High,"Much more difficult","About the same",1,"It is very hard to learn the syntax of the code","Make ""easier"" excercises and a list of common functions including syntax","2015-10-09 13:12:33","2015-10-09 13:14:58",6a0def5c61
911b2afa44254bb899188908424c9981,MA,,10,High,"About the same ","More fun",1,"It would have been helpful knowing how the syntax works i R. ","Less time on the trivial things like installing R. More time on how to code in R. Less time showing off fancy stuff. A more incremental exercise approach. Suddenly we jumped in difficulty - we could have increased the difficulty incrementally.","2015-10-11 10:27:39","2015-10-11 10:33:01",88b6f75ae4
de3138715e9b9ea980ce66aa8d36839e,MA,,3,High,"Much more difficult","Less fun",1,"The Learning Pace","More and smaller assignments (i.e. ~2 exercise questions per week)","2015-10-14 13:03:18","2015-10-14 13:04:51",ee80f04899
1db3b840a641c04e031ba34d126a2dd6,BA,,5,Normal,"About the same ","More fun",1,"I was not used to programm a lot but the assignment requiered skills which where not covered in the course. The challenge is to search on your own for proper ways of solving problems.",,"2015-10-21 08:01:24","2015-10-21 08:03:49",b9e0e03cc1
